Core1,Core2
1164,1642
1166,1656
1170,1658
1172,1690
1174,1702
1176,1673
1177,1663
1178,1715
1184,1718
1187,1694
1188,1722
1198,1680
1201,1688
1205,1725
1206,1750
1207,1652
1207,1653
1207,2457
1207,14449
1209,1701
1212,2159
1212,2161
1215,1697
1217,1659
1217,1751
1217,1764
1217,1820
1218,1683
1235,1747
1241,1756
1243,1783
1244,1652
1246,1759
1247,1654
1247,1853
1247,14436
1249,1788
1250,2103
1251,1790
1252,1775
1252,2450
1254,1652
1255,1785
1259,1772
1259,1819
1262,1770
1264,2161
1266,1959
1267,1810
1269,1804
1269,1812
1274,1799
1280,1792
1281,1652
1282,1857
1283,1652
1284,1657
1284,2455
1287,1652
1288,2214
1295,1929
1295,2006
1299,1921
1299,2517
1301,1738
1302,1768
1303,1862
1304,1739
1305,1863
1307,1808
1311,1864
1314,1873
1314,1924
1314,1926
1315,1825
1320,1824
1324,1739
1326,1853
1326,14437
1326,14497
1327,1963
1328,1750
1329,1739
1332,1652
1349,1817
1352,1737
1352,1739
1354,1360
1354,1909
1355,1866
1360,1909
1362,1739
1364,1750
1364,2026
1367,2005
1370,1373
1372,1940
1372,1964
1372,2013
1374,2049
1380,1970
1380,2068
1380,2082
1380,2083
1380,2100
1380,2136
1382,2010
1383,2013
1384,2012
1387,2086
1388,2016
1389,2064
1393,2030
1394,2059
1397,1750
1397,1995
1400,2018
1401,2080
1407,2074
1411,2174
1413,2081
1415,2095
1415,2096
1418,2013
1419,2006
1419,2144
1420,1927
1424,2152
1426,2115
1428,2024
1430,2107
1431,2109
1436,2207
1439,2074
1441,2116
1442,2131
1442,2168
1445,2165
1445,2192
1446,2160
1447,2173
1449,2219
1454,2195
1455,2162
1457,2199
1457,2218
1459,2136
1461,2250
1467,2220
1470,2182
1471,2176
1472,2215
1473,2170
1477,2223
1479,2216
1484,2232
1484,2234
1485,2124
1486,2137
1486,2251
1487,2204
1487,2240
1490,2231
1492,2227
1494,2227
1495,2291
1496,2261
1497,2235
1500,2260
1501,2246
1503,2251
1505,2176
1506,2183
1506,2247
1507,2262
1508,2252
1509,2269
1510,2191
1511,2221
1512,2264
1513,2253
1514,2282
1515,2270
1515,2271
1516,2263
1517,2277
1518,2276
1519,2294
1519,2295
1520,2229
1522,2256
1522,2292
1524,2278
1524,2294
1525,2262
1528,2254
1530,2326
1534,2297
1536,2302
1536,2303
1536,2309
1540,2297
1541,2307
1542,2329
1543,2298
1544,2304
1545,2303
1546,2308
1547,2306
1548,2305
1549,2315
1551,2237
1552,2314
1553,2310
1556,2313
1557,2319
1558,2336
1559,2322
1560,2323
1561,2329
1562,2326
1563,2326
1564,2326
1565,2328
1569,2347
1572,2340
1574,2345
1574,2353
1575,2349
1576,2341
1578,2342
1580,2346
1582,2344
1582,2352
1583,2350
1584,2348
1588,2356
1590,2354
1590,2357
1591,2367
1592,2360
1595,2363
1595,2364
1602,2361
1602,2374
1604,2361
1612,2376
1615,2384
1615,2393
1615,2394
1615,2396
1620,2382
1622,2391
1623,2395
1626,2389
1630,2397
1631,2409
1632,2420
1633,2428
1634,2401
1634,2434
1638,2422
1642,2419
1652,2386
1652,2447
1652,2451
1652,2457
1652,2472
1652,3085
1652,3138
1654,2446
1657,2381
1657,2455
1657,3085
1693,1768
1693,2429
1695,2427
1699,1711
1723,2439
1730,2444
1736,2440
1738,2469
1739,2482
1739,2486
1739,2557
1750,1995
1750,2440
1750,2516
1759,2466
1768,2429
1775,2450
1775,3138
1796,1828
1823,2533
1850,2497
1853,2453
1857,2386
1858,1889
1862,2429
1863,2489
1866,2546
1886,2508
1903,2523
1905,2488
1921,2460
1921,2517
1921,2545
1921,3162
1927,2665
1929,2006
1929,2637
1930,2537
1942,2561
1942,2563
1944,2521
1946,2479
1954,2482
1963,2466
