Cores,TempF_0,CoreF_0,Mean_fut
593,10.66,593,14.30578799
595,10.08,595,14.2162646
596,10.22,596,13.7699015
597,9.49,597,13.05225764
598,10.78,598,14.94117837
600,-0.72,14771,15.42545946
601,10.42,601,13.98519765
602,10.89,602,14.44970875
603,10.6,603,14.16612657
604,10.52,604,14.14562551
605,10.59,605,14.17300104
606,10.05,606,13.65965438
608,9.4,14490,13.55680949
609,10.98,609,14.53218557
610,4.27,9279,14.66632791
611,9.7,14493,14.52640585
612,5.91,10462,14.55295057
613,10.93,613,15.07064951
614,3.53,8488,14.61779064
615,9.51,14496,14.49528118
617,10.7,617,14.30909102
618,11.03,618,15.20990676
619,10.61,619,14.1745115
620,9.79,14491,14.23353552
623,10.78,623,14.87283386
624,9.79,14510,14.67917804
625,8.57,14495,14.98594137
626,8.57,14495,13.52426565
627,10.89,627,15.0433542
629,10.2,629,13.73646922
630,10.02,630,13.56099765
631,10.77,631,14.36754068
632,10.44,632,13.97022434
633,10.71,633,14.24510501
634,10.82,634,14.34447286
635,9.77,635,13.33270989
636,9.16,636,13.16858333
637,10.78,637,14.36254592
638,9.31,14266,13.74072522
639,-0.72,14771,14.37345715
640,10.35,640,13.86786276
641,4.41,10437,14.17838945
642,10.64,642,14.77216251
643,9.79,14510,14.28002187
644,5.93,11686,14.62580166
645,10.25,645,13.77833287
646,9.31,14266,14.05891027
647,10.25,647,13.78566933
648,10.52,648,14.04566995
649,5.93,11686,14.5202862
650,10.29,650,13.84468089
651,9.42,651,12.99726076
652,9.86,652,13.32744919
653,7.6,13715,13.21602817
654,9.76,654,13.29330873
655,4.53,9277,14.5289075
656,5.93,11686,14.65866032
657,5.62,10459,14.55057984
658,7.91,13648,13.86495966
659,10.35,659,13.87660487
662,10.1,662,13.45641484
664,8.25,13674,13.90761212
666,10.49,1386,14.20736051
667,9.37,670,13.46925848
668,7.91,13648,13.60742924
669,9.43,14512,13.64064557
670,9.37,670,12.89563543
671,10.35,671,14.36975342
672,6.68,11700,14.22076307
673,3.32,9270,14.97808905
674,4.78,10378,14.80437862
675,10.3,675,13.80941159
676,9.49,14508,14.64665661
677,10.74,677,14.85085667
679,-2.78,14723,14.53301228
680,9.62,680,13.17538758
682,10.71,682,14.72622901
684,4.76,10504,14.5386768
686,10.28,686,13.82702393
687,-2.78,14723,14.51538303
689,7.45,12808,14.16323764
690,9.9,690,13.45308981
692,6.05,11701,14.74615543
693,10.01,693,13.55143511
694,10.34,694,13.88763856
696,10.01,696,13.56320127
697,7.12,13716,13.44740083
698,3.32,9270,14.37436697
699,7.45,12808,14.51535829
701,3.32,9270,14.21885484
702,8.49,13757,12.76672111
704,10.95,704,14.47608551
706,9.03,14543,13.00790402
707,8.83,14535,13.28064826
708,9.57,708,13.1200874
710,6.6,14596,11.44808798
711,11.02,711,14.57050125
712,8.68,712,12.21672805
714,9.79,14550,14.50590978
715,8.68,712,13.62627999
716,10.35,716,13.89971372
718,9.44,14539,14.42567939
719,5.54,10482,14.12452559
721,8.68,712,13.75269274
722,5.41,11696,13.69935554
723,7.01,13723,13.06501498
724,-2.78,14723,14.38301302
726,9.9,14551,14.48884174
727,10.81,727,14.97547994
728,-2.78,14723,13.6494329
729,-2.78,14723,14.27928851
730,1.85,8071,14.35867174
731,7.73,12820,14.23975605
732,7.68,12825,14.59115951
733,10.99,733,15.03919218
734,9.11,14576,12.68295594
735,10.1,735,13.60249859
737,10.75,737,14.28772601
738,10.48,738,14.52987499
739,4.76,10504,14.62300804
740,9.61,740,12.93115619
741,7.3,12832,14.10035466
743,4.86,10503,14.51831793
745,9.11,14576,12.66379247
746,10.88,746,15.04122963
747,8.94,13759,14.62080251
748,8.25,13674,13.97626109
749,9.22,14561,13.80271303
750,10.9,750,15.05885523
751,8.62,13764,14.62117587
752,7.58,12834,14.54242817
753,7.58,12834,14.50133718
754,9.02,754,12.52584914
756,8.03,13717,13.36204495
757,6.63,12833,14.94525614
758,9.11,14576,13.89126043
759,10.19,759,13.74712846
760,10.36,760,13.87987564
761,10.32,761,13.80749267
762,10.63,762,14.11405008
763,10.03,763,13.50053068
764,9.54,14602,14.57071886
766,10.52,766,14.51582355
767,2.9,8537,14.51510758
768,10.83,768,14.87890504
769,10.12,14598,14.86856715
771,2.9,8537,14.42002535
773,7.58,12834,14.45142344
774,10.02,774,13.937928
775,8.95,13766,14.46124295
776,9.55,14605,14.28056514
777,10.72,777,14.71916555
778,8.55,14580,14.46960134
780,6.52,13770,14.32723035
781,9.41,14622,14.60531683
782,8.59,13775,14.41292435
783,9.54,14602,14.23513921
784,9.64,14614,14.52812114
785,6.52,13770,13.71211514
786,8.13,13772,14.66920732
787,9.55,14605,14.22379396
788,10.58,788,14.58851092
789,6.52,14625,12.62640709
790,7.58,12834,14.75174204
791,6.62,12812,14.4882872
792,8.13,13772,14.33165961
793,5.24,10505,14.41048979
794,10.68,794,14.61837001
795,2.9,8537,14.47964207
796,10.54,796,14.5334431
797,2.9,8537,14.34894979
798,2.9,8537,14.45836799
800,10.37,800,14.316537
802,6.62,11734,14.64103528
803,2.9,8537,14.30413413
804,10.66,804,14.42432683
805,10.75,805,14.73690629
806,9.75,806,13.65264773
807,7.47,12849,13.96763497
808,8.75,14635,14.27281197
809,7.97,13781,14.45177836
810,7.21,12848,14.42638518
812,10.68,812,14.4516519
813,10.64,813,14.38720221
814,10.74,814,14.45393989
815,9.97,815,13.71785273
816,10.58,816,14.32378369
817,10.36,817,14.10108229
818,10.51,818,14.21110386
819,11.02,819,14.75116688
821,11.49,821,14.32687878
822,7.4,11817,14.32761788
823,7.4,11817,15.29727878
824,-0.45,3774,14.28562426
826,8.05,12952,14.66700375
827,10.32,51,14.96041001
830,-0.45,3774,14.53198878
831,10.76,52,14.71617481
832,10.76,52,14.73385326
838,11.49,838,15.1115795
839,10.94,80,14.60737937
840,11.14,840,14.61798837
842,11.77,842,15.17497188
843,11.87,843,15.33097262
844,-0.45,3774,14.95271291
845,-0.45,3774,14.70866202
846,10.65,98,14.93628323
847,9.91,13978,15.13426112
848,0.36,9381,14.89570498
849,11.66,849,15.07670039
852,8.73,12996,14.81374631
853,11.82,853,15.23309166
854,10.68,96,14.59516835
855,11.72,855,15.15401199
856,11.73,856,15.07904036
859,0.36,9381,14.4630953
860,0.91,3775,14.09592223
861,0.36,9381,14.89179161
862,0.91,3775,14.17029313
863,10.48,152,13.89437496
867,11.42,867,14.20506426
871,9.01,13946,13.86002126
872,0,872,2.73701636
873,9.01,13946,13.78890862
877,9.01,13946,13.95126133
880,0,880,2.710750437
881,9.41,13956,13.82297296
882,10.75,882,13.43431841
883,9.41,13956,14.03871756
884,9.41,13956,14.19728043
887,0.91,3775,13.95583818
888,9.41,13956,13.96191421
889,11.27,889,13.94013725
890,7.28,11875,13.59584631
892,7.28,11875,13.78543146
893,7.28,11875,13.95415948
896,8.28,13059,14.14805016
900,7.28,11875,14.34410819
907,7.28,11875,13.84133718
908,4.76,10065,13.88000807
909,11.78,909,14.52918325
911,4.76,10065,13.83408982
912,1.49,3823,15.33310515
913,9.91,13978,15.2015384
914,1.49,3823,15.05137329
915,4.76,10065,13.82482661
916,4.76,10065,13.98141778
917,10.71,182,15.06020758
918,4.05,9072,14.37502514
919,3.46,9113,14.64573178
920,7.06,12480,14.8752622
922,4.05,9072,14.0677557
927,2.03,8397,15.19799162
928,2.03,8397,15.24697512
929,7.35,12333,14.67686298
931,8.34,13118,13.97292415
932,4.05,9072,14.07565794
933,4.05,9072,14.35661635
934,9.48,13992,13.92943468
937,9.48,13992,14.04033166
941,6.26,11408,14.3272395
942,8.34,13118,14.15370872
943,9.23,14043,13.6113217
944,4.84,10209,14.90125674
945,9.23,14043,14.00756191
946,10.68,210,14.19222527
947,5.65,10276,14.65336853
948,11.64,948,14.41836539
949,5.65,10276,14.91449556
950,11.16,950,13.94068805
951,11.49,951,14.26267682
952,11.81,952,15.34199101
953,1.24,8010,15.08519515
954,2.21,7971,15.80932767
955,11.73,955,15.22714224
956,4.51,9129,14.94766571
957,1.24,8010,15.16482301
958,11.75,958,14.56204349
960,2.03,8397,15.36765735
961,11.57,961,15.1856024
962,11.82,962,15.37977947
963,10.52,305,15.06769306
964,11.55,964,15.13934822
965,11.81,965,15.35872455
966,4,9172,15.08938233
967,11.38,967,14.25212554
968,6.33,12704,14.79020818
969,-0.72,14771,15.05604859
971,-0.93,3879,15.57163364
972,10.94,397,14.73591962
974,4.02,9186,15.04217896
975,10.43,256,15.05856241
976,11.9,976,15.44624173
977,11.2,977,15.39519768
978,11.02,978,15.30820142
979,11.23,979,14.91527375
980,1.59,7979,15.62701025
981,2.21,7971,15.52094875
982,2.21,7971,15.10105896
983,10.77,983,14.41574736
985,1.59,7979,16.24754225
986,-0.72,14771,14.99962932
987,1.59,7979,15.3727014
988,10.52,305,14.93536446
989,10.87,365,14.78455115
990,-0.72,14771,15.06604658
992,-0.93,3879,15.50183623
993,10.08,523,14.60843645
994,10.27,373,14.81333058
996,9.99,1051,14.573987
997,11.27,997,15.56300364
998,10.97,352,15.26047807
999,10.84,371,14.79261308
1002,1.59,7979,15.25428055
1003,10.93,439,15.30724132
1004,11.11,1004,14.85923998
1006,11.13,1006,14.7767369
1007,1.59,7979,15.41032998
1008,11.63,1008,15.85016491
1009,11.99,1009,16.17722198
1010,11.15,1010,14.97184833
1011,11.21,1011,15.42400302
1013,11.27,1013,15.50343268
1014,11.11,1014,15.30819164
1015,11.52,1015,15.72292005
1016,9.64,462,14.95102782
1017,11.05,1017,14.09064405
1018,-0.93,3879,15.56025983
1019,-0.93,3879,15.36328795
1021,11.59,1021,15.75569207
1022,10.73,369,14.81297891
1023,10.9,409,14.79549418
1024,11.34,1024,15.09028917
1025,11.24,1025,14.98733755
1026,11.53,1026,15.76123617
1027,11.12,1027,15.34575306
1028,10.95,312,15.47710545
1029,11.22,1029,15.27510286
1030,11.17,1030,14.99933891
1032,11.11,1032,15.10589605
1033,11.06,1033,15.0920887
1035,11.1,1035,15.35051616
1037,1.14,3855,15.25683116
1038,-1.64,14654,15.44116849
1039,10.96,484,15.3126948
1040,10.88,483,15.30919726
1043,11.4,1043,15.24919323
1044,11.07,1044,14.9084519
1045,10.77,418,14.81036454
1046,11.18,1046,14.91348935
1047,11.09,1047,14.8252252
1048,11.21,1048,14.95113811
1049,11.43,1049,15.20857275
1051,9.99,1051,13.65830064
1052,8.89,14383,14.90044396
1053,11.7,1053,15.86192944
1054,10.1,1054,13.74555184
1055,10.92,453,14.8723181
1056,11,1056,14.86206939
1057,11.61,1057,15.75808017
1058,11.59,1058,15.88686026
1059,11.5,1059,15.52251862
1060,11.19,1060,15.20818382
1061,11.8,1061,15.83015284
1062,11.52,1062,15.31285234
1063,11.54,1063,15.69775837
1064,11.11,1064,14.96038899
1065,11.13,1065,14.9805567
1066,11.14,1066,14.99003282
1067,11.04,1067,14.87820832
1068,11.42,1068,15.24553669
1069,11.34,1069,15.19709641
1071,11.17,1071,15.44886138
1072,11.53,1072,15.79388766
1073,11.79,1073,16.07443219
1074,11.75,1074,16.04294659
1075,11.61,1075,15.88946397
1076,11.4,1076,15.1480024
1077,11.3,1077,15.03491555
1078,11.07,1078,14.92033699
1079,8.89,14383,15.06750035
1080,11.06,485,14.92953967
1081,11.26,1082,15.11107352
1082,11.26,1082,14.98888829
1083,11.29,1083,15.00719153
1085,11.49,1085,15.32553301
1086,11.6,1086,15.37352536
1087,11.83,1087,15.58273899
1088,0.14,9417,15.63038838
1089,10.88,483,15.3557857
1090,11.26,1090,15.24185952
1091,11.4,1091,15.40741764
1092,11.87,1092,15.63879815
1093,11.1,1093,15.35158004
1095,8.89,14383,14.29757563
1096,9.74,14431,14.81493261
1097,11.65,1097,15.93641618
1098,11.92,1098,16.20483936
1099,-0.72,14771,15.53861174
1100,11.29,1100,15.13870546
1101,11.24,1101,15.49325569
1102,-1.64,14654,15.46381948
1104,11.3,1104,15.14820548
1105,11.85,1105,15.6623864
1106,11.62,1106,15.45242874
1107,11.75,1107,15.59070303
1109,12.02,1109,16.20144974
1110,11.27,1110,15.51526826
1111,11.15,1111,15.41288616
1113,11.08,1113,15.32710699
1114,11.15,1114,15.40218557
1115,11.56,1115,15.28590669
1116,11.45,1116,15.1761058
1117,11.73,1117,15.46619136
1118,11.47,1118,15.31121838
1119,11.59,1119,15.60765473
1120,11.9,1120,15.67549224
1121,1,8027,15.63761283
1122,11.8,1122,16.07980559
1123,11.32,1123,15.16519259
1124,11.88,1124,16.01868618
1125,11.45,1125,15.41688949
1126,11.88,1126,15.71033029
1127,11.4,1127,15.34074147
1128,11.96,1128,16.24022957
1129,11.43,1129,15.70826457
1130,11.34,1130,15.5938728
1131,11.28,1131,15.53773439
1132,0.66,3881,15.51385444
1133,11.67,1133,15.81373078
1134,11.53,1134,15.37372048
1135,10.94,521,15.48938405
1136,11.27,1136,15.54809669
1137,11.66,1137,15.63389469
1138,11.56,1138,15.4895025
1139,-0.72,14771,15.14189056
1140,11.55,1140,15.80234643
1141,10.69,535,15.42310995
1142,10.7,490,14.96420397
1143,11.47,1143,15.6238502
1144,11.97,1144,16.09952198
1145,11.43,1145,15.26716796
1147,11.36,1147,15.0654131
1148,11.42,1148,15.68183718
1149,11.79,1149,16.07562156
1150,11.85,1150,16.14316449
1151,11.56,1151,15.71220516
1152,11.63,1152,15.7671892
1153,11.4,1153,15.55293182
1154,11.5,1154,15.3321039
1155,11.71,1155,15.52065516
1157,11.86,1157,15.99330305
1158,11.88,1158,16.01854683
1159,11.68,1159,15.51663273
1160,11.7,1160,15.4158879
1161,11.75,1161,16.02918961
1162,11.89,1162,16.16975575
1163,11.9,1163,16.17996914
1164,-0.72,14771,15.1400086
1166,-0.93,3879,16.76019032
1167,11.56,1167,15.82863432
1168,11.92,1168,16.0572631
1169,11.82,1169,16.10446558
1170,11.79,1170,16.08078639
1171,11.9,1171,16.14646616
1172,11.92,1690,16.13174685
1173,11.84,1173,15.65783122
1174,11.98,1174,16.10744945
