Cores,Mean
789,8.71
790,10.82
791,10.5
792,10.31
793,10.47
794,10.68
795,10.53
796,10.54
797,10.38
798,10.52
800,10.37
802,10.68
803,10.37
804,10.66
805,10.75
806,9.75
807,10
808,10.34
809,10.51
810,10.46
812,10.68
813,10.64
814,10.74
815,9.97
816,10.58
817,10.36
818,10.51
819,11.02
821,11.49
822,11.02
823,12.03
824,11.03
826,11.35
827,11.61
830,11.26
831,11.26
832,11.29
838,11.49
839,11.21
840,11.14
842,11.77
843,11.87
844,11.6
845,11.37
846,11.42
847,11.32
848,11.34
849,11.66
852,11.48
853,11.82
854,11.08
855,11.72
856,11.73
859,10.94
860,11.25
861,11.33
862,11.33
863,11.08
867,11.42
871,11.12
872,0
873,11.01
877,11.17
880,0
881,11.09
882,10.75
883,11.26
884,11.37
887,11.12
888,11.21
889,11.27
890,10.76
892,11.05
893,11.12
896,11.27
900,11.54
907,11.09
908,11.13
909,11.78
911,11.09
912,11.58
913,11.38
914,11.22
915,11.07
916,11.19
917,11.19
918,11.48
919,11.38
920,11.61
922,11.26
927,11.05
928,11.08
929,11.51
931,11.23
932,11.26
933,11.54
934,11.2
937,11.3
941,11.53
942,11.31
943,10.75
944,11.63
945,11.12
946,11.43
947,11.37
948,11.64
949,11.49
950,11.16
951,11.49
952,11.81
953,11.32
954,11.92
955,11.73
956,11.46
957,11.37
958,11.75
960,11.21
961,11.57
962,11.82
963,11.3
964,11.55
965,11.81
966,11.59
967,11.38
968,11.25
969,11.51
971,11.51
972,10.99
974,11.52
975,11.29
976,11.9
977,11.2
978,11.02
979,11.23
980,11.54
981,11.68
982,11.27
983,10.77
985,12.36
986,11.46
987,11.29
988,11.18
989,11.02
990,11.52
992,11.68
993,11.04
994,11.09
996,10.9
997,11.27
998,11.03
999,11.04
1002,11.29
1003,11.04
1004,11.11
1006,11.13
1007,11.45
1008,11.63
1009,11.99
1010,11.15
1011,11.21
1013,11.27
1014,11.11
1015,11.52
1016,11.4
1017,11.05
1018,11.76
1019,11.45
1021,11.59
1022,10.96
1023,11.06
1024,11.34
1025,11.24
1026,11.53
1027,11.12
1028,11.2
1029,11.22
1030,11.17
1032,11.11
1033,11.06
1035,11.1
1037,11.08
1038,11.27
1039,11.06
1040,11.05
1043,11.4
1044,11.07
1045,11.08
1046,11.18
1047,11.09
1048,11.21
1049,11.43
1051,9.99
1052,11.28
1053,11.7
1054,10.1
1055,11.15
1056,11
1057,11.61
1058,11.59
1059,11.5
1060,11.19
1061,11.8
1062,11.52
1063,11.54
1064,11.11
1065,11.13
1066,11.14
1067,11.04
1068,11.42
1069,11.34
1071,11.17
1072,11.53
1073,11.79
1074,11.75
1075,11.61
1076,11.4
1077,11.3
1078,11.07
1079,11.46
1080,11.22
1081,11.38
1082,11.26
1083,11.29
1085,11.49
1086,11.6
1087,11.83
1088,11.51
1089,11.1
1090,11.26
1091,11.4
1092,11.87
1093,11.1
1095,10.66
1096,11.12
1097,11.65
1098,11.92
1099,11.92
1100,11.29
1101,11.24
1102,11.28
1104,11.3
1105,11.85
1106,11.62
1107,11.75
1109,12.02
1110,11.27
1111,11.15
1113,11.08
1114,11.15
1115,11.56
1116,11.45
1117,11.73
1118,11.47
1119,11.59
1120,11.9
1121,11.46
1122,11.8
1123,11.32
1124,11.88
1125,11.45
1126,11.88
1127,11.4
1128,11.96
1129,11.43
1130,11.34
1131,11.28
1132,11.34
1133,11.67
1134,11.53
1135,11.25
1136,11.27
1137,11.66
1138,11.56
1139,11.52
1140,11.55
1141,11.2
1142,11.28
1143,11.47
1144,11.97
1145,11.43
1147,11.36
1148,11.42
1149,11.79
1150,11.85
1151,11.56
1152,11.63
1153,11.4
1154,11.5
1155,11.71
1157,11.86
1158,11.88
1159,11.68
1160,11.7
1161,11.75
1162,11.89
1163,11.9
1164,11.5
1166,12.94
1167,11.56
1168,11.92
1169,11.82
1170,11.79
1171,11.9
1172,12
1173,11.84
1174,11.98
1175,11.81
1176,11.92
1177,11.93
1178,11.98
1179,11.64
1180,11.96
1181,11.95
1182,11.64
1183,11.77
1184,11.96
1185,11.71
1186,11.75
1187,12.03
1188,11.92
1189,11.63
1190,11.61
1191,11.51
1192,11.59
1193,11.88
1194,11.58
1195,11.32
1196,11.44
1197,11.55
1198,11.66
1199,11.68
1200,11.47
1201,11.93
1202,10.91
1203,10.96
1204,11.6
1205,11.9
1206,11.85
1207,11.87
1209,12.01
1210,11.75
1211,11.51
1212,11.6
1213,11.2
1215,11.93
1216,11.88
1217,11.94
1218,11.85
1220,11.42
1221,11.23
1222,11.46
1223,11.63
1224,11.55
1225,11.35
1226,11.08
1227,11.69
1228,11.78
1229,10.94
1230,11.47
1231,11.61
1232,11.18
1233,11.23
1234,11.63
1235,11.89
1236,11.37
1237,11
1238,11.42
1239,11.17
1240,11.33
1241,11.97
1242,11.8
1243,11.91
1244,11.25
1245,11.21
1246,11.6
1247,12.62
1248,11.33
1249,11.7
1250,11.04
1251,11.93
1252,11.37
1254,10.39
1255,11.92
1256,11.06
1257,11.06
1258,10.77
1259,11.14
1261,11.76
1262,11.84
