"","Core","Final_Temp","Final_Core","Final_Cost","EucDist","PathDist","CostToEuc","CostToPath"
"76",110,10.59,110,0,0,0,0,0
"77",111,-3.83,14754,1712036.21,19516.18,23312,87.7239403407839,73.4401256863418
"78",112,7.56,11848,637214.4,7285.39,8828,87.4646930363371,72.1810602628002
"79",113,0.91,3775,508543.56,6123.11,6828,83.0531478284728,74.4791388400703
"80",114,-0.45,14737,1391138.73,17142.19,20554,81.1529174510375,67.682141189063
"81",119,7.56,11848,637214.4,7285.39,8828,87.4646930363371,72.1810602628002
"82",120,7.56,11848,1094605.98,15285.39,17656,71.6112562388006,61.9962607612143
"83",123,7.56,11848,968272.09,12942.24,15484,74.8148767137683,62.5337180315164
"84",125,0.36,9381,0,0,0,0,0
"85",126,-0.45,14737,1176236.64,14906.12,17726,78.9096451658782,66.3565745232991
"86",127,0.91,3775,469544.87,6000,6414,78.2574783333333,73.2062472715934
"87",128,7.56,11848,899833.06,10890.94,12656,82.6221666816639,71.0993252212389
"88",129,7.56,11848,637214.4,7285.39,8828,87.4646930363371,72.1810602628002
"89",132,-0.45,14737,1176236.64,14906.12,17726,78.9096451658782,66.3565745232991
"90",133,-2.79,14703,1008363,11077.69,12484,91.0264685146452,80.7724287087472
"91",134,-2.79,14703,1008363,11077.69,12484,91.0264685146452,80.7724287087472
"92",136,9.37,13928,0,0,0,0,0
"93",138,9.37,13928,197869.75,2828.43,2828,69.9574498926967,69.9680869872702
"94",140,0.91,3775,675567.82,7211.1,9484,93.6844337202368,71.2323724167018
"95",142,-0.45,14737,1340302.66,16906.12,20140,79.2791403349793,66.5492879841112
"96",143,0.91,3775,355984.91,3605.55,4242,98.7324846417329,83.9191206977841
"97",145,0.91,3775,355984.91,3605.55,4242,98.7324846417329,83.9191206977841
"98",146,0.91,3775,0,0,0,0,0
"99",147,0.91,3775,426199.47,5385.16,6656,79.1433253608064,64.0323722956731
"100",148,0.91,3775,0,0,0,0,0
"101",149,7.28,11875,286078.38,4123.11,4414,69.3841250900413,64.8115949252379
